,HomePlanet,CryoSleep,Deck,RoomNum,Side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0,Europa,False,B,0.0,P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,False
1,Earth,False,F,0.0,S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,True
2,Europa,False,A,0.0,S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False
3,Europa,False,A,0.0,S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False
4,Earth,False,F,1.0,S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,True
5,Earth,False,F,0.0,P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,True
6,Earth,False,F,2.0,S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,True
7,Earth,True,G,0.0,S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,304.8547912992357,True
8,Earth,False,F,3.0,S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,True
9,Europa,True,B,1.0,P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True
10,Europa,True,B,1.0,P,TRAPPIST-1e,34.0,False,0.0,0.0,173.72916912197996,0.0,0.0,True
11,Europa,False,B,1.0,P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,True
12,Mars,False,F,1.0,P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,True
13,Earth,False,G,1.0,S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,False
14,Earth,False,F,2.0,P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,True
15,Earth,False,F,600.3676712973864,P,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,False
16,Mars,False,F,3.0,P,55 Cancri e,27.0,False,1286.0,122.0,173.72916912197996,0.0,0.0,False
17,Earth,False,F,4.0,P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,False
18,Mars,True,F,5.0,P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True
19,Earth,False,G,0.0,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True
20,Earth,False,F,6.0,P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,False
21,Earth,True,E,0.0,S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False
22,Earth,True,E,0.0,S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,False
23,Earth,True,E,0.0,S,55 Cancri e,29.0,False,0.0,0.0,173.72916912197996,0.0,0.0,False
24,Earth,False,E,0.0,S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,True
25,Earth,True,E,0.0,S,PSO J318.5-22,1.0,False,224.687617481203,0.0,0.0,0.0,0.0,False
26,Earth,False,E,0.0,S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,False
27,Mars,False,D,0.0,P,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,False
28,Europa,True,C,2.0,S,TRAPPIST-1e,62.0,False,0.0,0.0,173.72916912197996,0.0,0.0,True
29,Earth,False,F,6.0,S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,False
30,Europa,False,C,0.0,P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False
31,Mars,False,F,8.0,P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,False
32,Earth,False,G,4.0,S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,False
33,Mars,False,F,9.0,P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True
34,Mars,False,F,9.0,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
35,Mars,False,F,9.0,P,TRAPPIST-1e,20.0,False,224.687617481203,0.0,1750.0,990.0,0.0,True
36,Europa,True,D,1.0,S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True
37,Mars,False,D,1.0,P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False
